benchmark, nodes, edges, gridSize, cost_1-hop, time_1hop(s), swapCount
mac,11,11,25,1.000000,0.01,17802
simple,14,15,25,1.000000,0.01,18297
horner_bs,17,16,36,1.000000,0.02,23398
mults1,24,27,49,1.074074,0.02,28777
arf,28,30,49,1.066667,0.03,37553
conv3,28,30,49,1.000000,0.03,36927
motion_vec,32,29,49,1.000000,0.03,38046
fir2,40,39,49,1.025641,0.03,42988
fir1,44,43,64,1.069767,0.04,50220
fdback_pts,54,51,81,1.058824,0.05,64858
k4n4op,59,74,64,1.229730,0.06,53363
h2v2_smo,62,65,81,1.046154,0.06,69505
cosine1,66,76,81,1.118421,0.06,70862
ewf,66,79,100,1.088608,0.08,78981
Cplx8,77,91,121,1.065934,0.09,94627
Fir16,77,91,121,1.054945,0.09,94408
cosine2,81,91,144,1.252747,0.08,94422
FilterRGB,84,97,121,1.103093,0.09,95897
collapse_pyr,105,122,144,1.114754,0.12,127319
interpolate,108,104,225,1.240385,0.11,124819
w_bmp_head,110,92,324,1.119565,0.10,121370
matmul,116,124,144,1.137097,0.12,132096
invert_matrix,357,378,676,1.746032,0.44,420608
