benchmark, cost_1-hop, time_1hop(s)
mac,1.000000,0.64
simple,1.000000,0.75
horner_bs,1.000000,1.06
mults1,1.074074,2.56
arf,1.066667,2.20
conv3,1.000000,2.20
motion_vec,1.000000,3.35
fir2,1.000000,3.06
fir1,1.069767,3.71
fdback_pts,1.039216,5.38
k4n4op,1.202703,5.65
h2v2_smo,1.000000,7.42
cosine1,1.065789,6.90
ewf,1.025316,9.08
Cplx8,1.010989,10.28
Fir16,1.010989,11.60
cosine2,1.197802,10.04
FilterRGB,1.041237,12.12
collapse_pyr,1.065574,14.97
interpolate,1.163462,13.66
w_bmp_head,1.054348,13.05
matmul,1.088710,15.32
invert_matrix,1.682540,60.37
